police_station,total_cases,n_approved,n_rejected,n_unresolved,avg_response_min,median_response_min,avg_closure_min,avg_validation_min,n_negative_response,approval_rate,rejection_rate,unresolved_rate,cells,top1_cell_share
UPPARPET,34468,15396,4797,14275,,,,4985.476053251646,0,44.67,13.92,41.42,9,0.6033132180573285
SHIVAJINAGAR,28044,11021,5660,11363,,,,5344.744625958887,0,39.3,20.18,40.52,14,0.328376836399943
MALLESHWARAM,22200,8470,3080,10650,,,,5576.866973680584,0,38.15,13.87,47.97,27,0.24121621621621622
HAL OLD AIRPORT,20819,7743,3622,9454,,,,7585.9911521681215,0,37.19,17.4,45.41,59,0.32162928094529036
CITY MARKET,17646,6162,2963,8521,,,,6794.285527732155,0,34.92,16.79,48.29,16,0.5290150742377876
VIJAYANAGARA,14652,6248,3003,5401,,,,6284.330500525596,0,42.64,20.5,36.86,40,0.23573573573573572
RAJAJINAGAR,10998,4034,1876,5088,,,,5502.799192025045,0,36.68,17.06,46.26,43,0.23131478450627388
KODIGEHALLI,10916,2354,1664,6898,,,,4525.82222760854,0,21.56,15.24,63.19,52,0.4921216562843532
MAGADI ROAD,8558,3302,1704,3552,,,,6178.464688810924,0,38.58,19.91,41.51,33,0.3004206590324842
JEEVANBHEEMANAGAR,6736,3104,878,2754,,,,5196.907634024139,0,46.08,13.03,40.88,37,0.18200712589073634
K.R. PURA,6546,2176,1181,3189,,,,4895.78618606993,0,33.24,18.04,48.72,56,0.3944393522761992
HALASURU GATE,6294,2331,1092,2871,,,,5676.716593360881,0,37.04,17.35,45.61,17,0.4783921194788688
MAHADEVAPURA,6187,2153,988,3046,,,,5826.541545539287,0,34.8,15.97,49.23,66,0.1920155164053661
CHIKKAJALA,5834,2235,1009,2590,,,,5714.919196907418,0,38.31,17.3,44.39,29,0.42646554679465204
HSR LAYOUT,5018,1921,1069,2028,,,,4689.053843850612,0,38.28,21.3,40.41,42,0.2979274611398964
BELLANDUR,4964,1925,853,2186,,,,4973.922581319115,0,38.78,17.18,44.04,46,0.2927074939564867
HIGH GROUND,4951,2544,812,1595,,,,4401.423824648089,0,51.38,16.4,32.22,18,0.5756412845889719
BYATARAYANAPURA,4555,1706,1041,1808,,,,4649.745953105219,0,37.45,22.85,39.69,33,0.36619099890230516
ELECTRONIC CITY,4333,1235,738,2360,,,,7083.521927726982,0,28.5,17.03,54.47,70,0.33279483037156704
PULIKESHINAGAR(F.TOWN),4136,1583,847,1706,,,,6897.260150336764,0,38.27,20.48,41.25,24,0.36315280464216637
HALASUR,4011,1793,614,1604,,,,4856.276403184335,0,44.7,15.31,39.99,26,0.28770880079780603
JAYANAGARA,3813,1592,589,1632,,,,5224.342402819521,0,41.75,15.45,42.8,26,0.3278258589037503
CHAMARAJPET,3795,1387,671,1737,,,,7444.606697962454,0,36.55,17.68,45.77,16,0.3870882740447958
BANASWADI,3759,1313,569,1877,,,,6128.531712867225,0,34.93,15.14,49.93,61,0.23304070231444532
BASAVANAGUDI,3604,1376,453,1775,,,,5154.408042374784,0,38.18,12.57,49.25,24,0.4669811320754717
ASHOK NAGAR,3524,1695,592,1237,,,,4551.409091631386,0,48.1,16.8,35.1,36,0.36606129398410897
ADUGODI,3332,1095,396,1841,,,,8643.007854533844,0,32.86,11.88,55.25,32,0.2728091236494598
CUBBON PARK,3255,1376,457,1422,,,,4695.973928762572,0,42.27,14.04,43.69,22,0.30721966205837176
HEBBALA,3209,1028,365,1816,,,,5642.391637559323,0,32.03,11.37,56.59,24,0.6858834527890308
WILSON GARDEN,3108,1104,298,1706,,,,5108.949838636364,0,35.52,9.59,54.89,23,0.17084942084942084
SHESHADRIPURAM,3090,1260,446,1384,,,,7616.658137626262,0,40.78,14.43,44.79,16,0.2796116504854369
MICO LAYOUT,2588,1197,357,1034,,,,4463.962039876543,0,46.25,13.79,39.95,29,0.2260432766615147
YESHWANTHPURA,2587,1126,420,1041,,,,6926.266791072174,0,43.53,16.24,40.24,27,0.2129880170081175
YELAHANKA,2440,1159,496,785,,,,5552.209066013461,0,47.5,20.33,32.17,58,0.31311475409836065
HULIMAVU,2395,750,328,1317,,,,8669.673426417034,0,31.32,13.7,54.99,40,0.23173277661795408
